GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
79784	0.0422	0.000349	0.981	3.5760837	3.506546	3255.59	MYH14	myosin heavy chain 14
8608	0.0423	0.000352	1.306	-3.573665	-4.667051	49.52	RDH16	retinol dehydrogenase 16
1824	0.0448	0.000376	0.792	-3.5566724	-2.818119	11957.27	DSC2	desmocollin 2
7368	0.0453	0.000383	1.4	3.5517268	4.972242	68.36	UGT8	UDP glycosyltransferase 8
148741	0.0457	0.000391	0.893	-3.5464126	-3.166363	209.39	ANKRD35	ankyrin repeat domain 35
8909	0.0457	0.000395	1.496	-3.5435579	-5.302516	38.28	ENDOU	endonuclease, poly(U) specific
100126799	0.0457	0.000394	1.761	3.5438558	6.238998	163.06	SNAR-A2	small NF90 (ILF3) associated RNA A2
658	0.046	0.000406	1.202	-3.5361908	-4.249376	76.9	BMPR1B	bone morphogenetic protein receptor type 1B
107984494	0.046	0.000405	1.407	-3.5365976	-4.976695	41.85	LOC107984494	
400578	0.046	0.0004	1.192	-3.5399847	-4.219099	70.88	KRT16P2	keratin 16 pseudogene 2
57535	0.0471	0.000419	1.589	3.5276512	5.606263	140.62	ELAPOR1	endosome-lysosome associated apoptosis and autophagy regulator 1
29116	0.0477	0.000427	0.936	3.5227429	3.298405	192.5	MYLIP	myosin regulatory light chain interacting protein
105370256	0.0487	0.000439	1.151	3.5153217	4.0447	182.22	LOC105370256	uncharacterized LOC105370256
105371552	0.0489	0.000445	1.684	-3.5121327	-5.912682	32.74	LOC105371552	uncharacterized LOC105371552
400916	0.0497	0.000455	1	3.5058376	3.504184	161.57	CHCHD10	coiled-coil-helix-coiled-coil-helix domain containing 10
23767	0.0499	0.00046	1.068	-3.5031838	-3.740187	111.71	FLRT3	fibronectin leucine rich transmembrane protein 3
10317	0.05	0.000464	1.692	3.5007557	5.923727	87.28	B3GALT5	beta-1,3-galactosyltransferase 5
100169951	0.0509	0.000476	1.86	3.4941164	6.499641	130.02	SNAR-A3	small NF90 (ILF3) associated RNA A3
1474	0.0516	0.000486	1.585	-3.4883832	-5.528036	33.21	CST6	cystatin E/M
6581	0.0536	0.000507	1.128	-3.476836	-3.921868	82.1	SLC22A3	solute carrier family 22 member 3
54578	0.0542	0.00052	1.898	3.4703109	6.587079	68.88	UGT1A6	UDP glucuronosyltransferase family 1 member A6
57016	0.0542	0.00052	1.083	3.4700271	3.758622	2342.58	AKR1B10	aldo-keto reductase family 1 member B10
6720	0.0567	0.000548	0.821	3.4562237	2.8362	1231.54	SREBF1	sterol regulatory element binding transcription factor 1
102466658	0.0577	0.000561	1.222	3.4496209	4.21519	178.22	MIR6510	microRNA 6510
121214	0.058	0.000568	1.228	-3.4464585	-4.231621	67.12	SDR9C7	short chain dehydrogenase/reductase family 9C member 7
105377572	0.0602	0.000594	2.408	-3.43436	-8.271214	18.27	LOC105377572	uncharacterized LOC105377572
89958	0.0605	0.000601	0.881	3.4313648	3.023341	346.65	SAPCD2	suppressor APC domain containing 2
80078	0.0618	0.000617	1.483	3.42386	5.076576	269.47	LCAL1	lung cancer associated lncRNA 1
284348	0.065	0.000653	1.001	-3.4086349	-3.412793	189.4	LYPD5	LY6/PLAUR domain containing 5
54577	0.065	0.000658	1.99	3.4065893	6.779368	78.65	UGT1A7	UDP glucuronosyltransferase family 1 member A7
56603	0.0666	0.000682	1.174	-3.3967266	-3.986956	64.54	CYP26B1	cytochrome P450 family 26 subfamily B member 1
93099	0.0666	0.000682	0.908	-3.3965668	-3.083691	1595.64	DMKN	dermokine
79085	0.0689	0.00071	0.946	3.3857586	3.202763	208.97	SLC25A23	solute carrier family 25 member 23
105376081	0.0697	0.000723	2.481	3.38085	8.38742	43.85	LOC105376081	uncharacterized LOC105376081
55714	0.0719	0.00075	0.928	-3.3704667	-3.126977	368.61	TENM3	teneurin transmembrane protein 3
100133941	0.0719	0.000759	0.773	-3.3671847	-2.602259	3445.68	CD24	CD24 molecule
242	0.0719	0.00076	1.01	-3.3670676	-3.401457	378.63	ALOX12B	arachidonate 12-lipoxygenase, 12R type
79746	0.0796	0.000846	1.333	3.3373723	4.450365	64.07	ECHDC3	enoyl-CoA hydratase domain containing 3
5764	0.0832	0.00089	1.093	3.3231982	3.632581	250.2	PTN	pleiotrophin
84525	0.0836	0.000899	0.81	-3.3204511	-2.688347	773.33	HOPX	HOP homeobox
6319	0.0846	0.000915	0.842	3.3154388	2.790252	5240.04	SCD	stearoyl-CoA desaturase
201501	0.0874	0.000951	0.865	3.3046306	2.859082	350.37	ZBTB7C	zinc finger and BTB domain containing 7C
6318	0.0895	0.00098	0.902	3.296288	2.974413	239.79	SERPINB4	serpin family B member 4
7053	0.0895	0.000986	0.96	-3.294486	-3.162535	1287.51	TGM3	transglutaminase 3
51361	0.0902	0.000999	0.817	-3.2908618	-2.688868	470.48	HOOK1	hook microtubule tethering protein 1
101927914	0.0938	0.00104	2.145	-3.2781724	-7.030424	23.08	LOC101927914	uncharacterized LOC101927914
79413	0.0939	0.00105	1.184	-3.276337	-3.879465	63.78	ZBED2	zinc finger BED-type containing 2
100505633	0.0955	0.00108	0.973	3.2698665	3.181908	232.83	LINC01133	long intergenic non-protein coding RNA 1133
113218482	0.0993	0.00113	2.496	3.2569151	8.129453	36.69	MIR9898	microRNA 9898
7644	0.0993	0.00113	0.882	-3.255466	-2.87073	289.86	ZNF91	zinc finger protein 91
5308	0.0994	0.00114	1.144	3.2538299	3.721272	186.91	PITX2	paired like homeodomain 2
29094	0.1	0.00115	0.803	-3.2498038	-2.609381	565.05	LGALSL	galectin like
105375610	0.102	0.00118	1.875	-3.242993	-6.081384	26.05	LOC105375610	uncharacterized LOC105375610
55137	0.107	0.00125	1.447	-3.2278511	-4.671178	37.4	FIGN	fidgetin, microtubule severing factor
126	0.107	0.00126	2.671	3.2251584	8.613421	51.93	ADH1C	alcohol dehydrogenase 1C (class I), gamma polypeptide
2697	0.113	0.00134	0.769	-3.2082563	-2.4671	2815.23	GJA1	gap junction protein alpha 1
79776	0.114	0.00135	0.928	-3.2060922	-2.97491	167.97	ZFHX4	zinc finger homeobox 4
7113	0.114	0.00135	1.232	3.2043876	3.946348	91.62	TMPRSS2	transmembrane serine protease 2
9518	0.115	0.00139	1.63	3.1974159	5.212985	107.33	GDF15	growth differentiation factor 15
6590	0.115	0.00139	0.78	-3.1961357	-2.493633	1620.88	SLPI	secretory leukocyte peptidase inhibitor
102723546	0.115	0.00139	1.493	-3.1964498	-4.771638	52.35	LOC102723546	uncharacterized LOC102723546
57126	0.117	0.00142	1.373	-3.1906791	-4.37981	41.28	CD177	CD177 molecule
391123	0.117	0.00145	1.295	-3.1840386	-4.122336	52.13	VSIG8	V-set and immunoglobulin domain containing 8
56892	0.117	0.00144	1.093	3.1857432	3.48225	159.44	TCIM	transcriptional and immune response regulator
3854	0.117	0.00144	0.888	-3.1862062	-2.830841	13359.89	KRT6B	keratin 6B
147798	0.117	0.00145	1.045	3.1852725	3.329441	135.78	TMC4	transmembrane channel like 4
85415	0.12	0.0015	1.358	3.174722	4.312254	58.37	RHPN2	rhophilin Rho GTPase binding protein 2
6657	0.121	0.00152	0.937	3.171082	2.971631	764.71	SOX2	SRY-box transcription factor 2
655	0.121	0.00152	0.872	3.1699765	2.765762	329.31	BMP7	bone morphogenetic protein 7
6283	0.121	0.00153	1.045	-3.1682591	-3.310771	99.71	S100A12	S100 calcium binding protein A12
107985075	0.125	0.0016	1.08	-3.1564301	-3.408171	106.53	LOC107985075	uncharacterized LOC107985075
91351	0.125	0.00163	0.821	-3.1504647	-2.586565	644.39	DDX60L	DExD/H-box 60 like
223117	0.125	0.00165	1.142	-3.1476513	-3.593956	70.71	SEMA3D	semaphorin 3D
387882	0.125	0.00163	0.855	3.1513707	2.693269	639.52	C12orf75	chromosome 12 open reading frame 75
6317	0.125	0.00162	0.8	3.1520711	2.521441	1730.42	SERPINB3	serpin family B member 3
7052	0.125	0.00162	1.002	-3.1529217	-3.158115	462.93	TGM2	transglutaminase 2
27127	0.125	0.00164	1.607	3.1490064	5.059069	145.89	SMC1B	structural maintenance of chromosomes 1B
3918	0.132	0.00174	0.873	-3.1309674	-2.733248	7535.01	LAMC2	laminin subunit gamma 2
1515	0.134	0.00178	0.876	-3.1250164	-2.737054	630.21	CTSV	cathepsin V
4192	0.134	0.00178	0.961	3.1247206	3.00295	542.51	MDK	midkine
5733	0.135	0.00181	1.068	-3.1193779	-3.332394	95.11	PTGER3	prostaglandin E receptor 3
3713	0.136	0.00184	0.852	-3.114283	-2.653048	986.93	IVL	involucrin
150864	0.136	0.00186	0.845	3.1116152	2.628608	364.14	FAM117B	family with sequence similarity 117 member B
1410	0.136	0.00186	1.01	-3.1116001	-3.143088	189.79	CRYAB	crystallin alpha B
56936	0.136	0.00185	2.023	3.1129486	6.295959	56.28	CCDC177	coiled-coil domain containing 177
7051	0.137	0.00187	0.797	-3.1100188	-2.480153	683.17	TGM1	transglutaminase 1
5226	0.137	0.00189	0.897	3.1076091	2.786504	1680.16	PGD	phosphogluconate dehydrogenase
729162	0.137	0.00189	1.24	-3.1070649	-3.854057	54.35	FAM239B	zinc finger protein 839 pseudogene
646396	0.138	0.00191	1.245	-3.1036345	-3.863312	131.96	REREP3	arginine-glutamic acid dipeptide repeats pseudogene 3
857	0.141	0.00196	0.849	-3.0955629	-2.626894	650.21	CAV1	caveolin 1
283131	0.141	0.00198	0.759	-3.0938397	-2.34862	13023.03	NEAT1	nuclear paraspeckle assembly transcript 1
374	0.142	0.002	0.912	-3.0904293	-2.818647	220.89	AREG	amphiregulin
149773	0.145	0.00205	1.459	-3.0832418	-4.496908	36.17	APCDD1L-DT	APCDD1L divergent transcript
54913	0.155	0.0022	1.029	3.062192	3.151449	188.78	RPP25	ribonuclease P and MRP subunit p25
57537	0.156	0.00223	1.228	-3.0576026	-3.756038	68.6	SORCS2	sortilin related VPS10 domain containing receptor 2
3127	0.159	0.00228	1.027	3.0513214	3.132446	198.77	HLA-DRB5	major histocompatibility complex, class II, DR beta 5
112267956	0.159	0.00229	1.716	-3.0502563	-5.232971	26.14	LOC112267956	
79148	0.159	0.00229	1.042	-3.0491566	-3.177305	118.45	MMP28	matrix metallopeptidase 28
127294	0.162	0.00236	1.239	-3.0408553	-3.767162	53.03	MYOM3	myomesin 3
57556	0.162	0.00236	1.097	3.0404292	3.333878	151.2	SEMA6A	semaphorin 6A
11001	0.162	0.00237	2.634	3.0396251	8.005104	33.58	SLC27A2	solute carrier family 27 member 2
4041	0.162	0.00239	0.914	3.0371684	2.776082	620.89	LRP5	LDL receptor related protein 5
2936	0.164	0.00243	0.873	3.0319916	2.646497	847.32	GSR	glutathione-disulfide reductase
162514	0.166	0.00246	1.087	-3.0283295	-3.290443	295	TRPV3	transient receptor potential cation channel subfamily V member 3
2264	0.166	0.00248	2.543	3.0255605	7.694939	27.34	FGFR4	fibroblast growth factor receptor 4
22885	0.168	0.00251	0.932	-3.0220897	-2.816721	186.02	ABLIM3	actin binding LIM protein family member 3
54852	0.169	0.00254	1.052	-3.0189358	-3.176287	97.77	PAQR5	progestin and adipoQ receptor family member 5
7367	0.17	0.00256	2.689	3.0157689	8.107945	36.65	UGT2B17	UDP glucuronosyltransferase family 2 member B17
115072896	0.171	0.00259	1.558	-3.012448	-4.694153	43.7	SLCO1B3-SLCO1B7	SLCO1B3-SLCO1B7 readthrough
2039	0.172	0.00262	1.224	3.0091261	3.68419	76.29	DMTN	dematin actin binding protein
2555	0.172	0.00264	2.698	3.006434	8.110458	36.15	GABRA2	gamma-aminobutyric acid type A receptor subunit alpha2
27445	0.172	0.00265	1.198	3.0060947	3.601138	117.23	PCLO	piccolo presynaptic cytomatrix protein
79589	0.178	0.00274	1.041	-2.99529	-3.119552	121.1	RNF128	ring finger protein 128
84649	0.179	0.00279	1.259	-2.9904755	-3.763934	51.49	DGAT2	diacylglycerol O-acyltransferase 2
84798	0.179	0.00279	0.921	2.9898691	2.754134	233.35	C19orf48	multidrug resistance-related protein
2122	0.18	0.00281	0.843	2.98803	2.5191	352.77	MECOM	MDS1 and EVI1 complex locus
63928	0.181	0.00284	2.703	2.9850829	8.069297	35.13	CHP2	calcineurin like EF-hand protein 2
6505	0.181	0.00286	1.449	2.9823372	4.320279	132.52	SLC1A1	solute carrier family 1 member 1
25894	0.181	0.00287	1.231	2.9815368	3.670204	85.69	PLEKHG4	pleckstrin homology and RhoGEF domain containing G4
6530	0.181	0.00288	1.585	-2.9802965	-4.723036	28.9	SLC6A2	solute carrier family 6 member 2
132864	0.184	0.00293	0.862	-2.9746171	-2.565307	351.99	CPEB2	cytoplasmic polyadenylation element binding protein 2
2719	0.187	0.00299	1.264	2.9687048	3.753031	129.75	GPC3	glypican 3
100133286	0.188	0.00301	0.982	2.966276	2.911712	430.69	CBR1-AS1	CBR1 antisense RNA 1
10568	0.188	0.00305	1.926	2.9625473	5.707015	75.92	SLC34A2	solute carrier family 34 member 2
4322	0.188	0.00306	0.818	-2.9612524	-2.423329	469.89	MMP13	matrix metallopeptidase 13
107985435	0.188	0.00306	1.327	-2.9618999	-3.928991	56.84	LOC107985435	uncharacterized LOC107985435
28234	0.195	0.00318	1.467	-2.9498332	-4.328586	64.63	SLCO1B3	solute carrier organic anion transporter family member 1B3
100507056	0.195	0.0032	1.239	2.9478204	3.653667	149.5	CCAT1	colon cancer associated transcript 1
6549	0.196	0.00322	1.549	2.9459978	4.564118	86.12	SLC9A2	solute carrier family 9 member A2
6920	0.2	0.0033	0.904	2.9380264	2.657179	229.48	TCEA3	transcription elongation factor A3
11211	0.2	0.00331	1.075	2.9374688	3.157507	202.03	FZD10	frizzled class receptor 10
6704	0.2	0.00333	0.933	-2.9357142	-2.739065	1256.01	SPRR2E	small proline rich protein 2E
220136	0.202	0.00338	1.579	2.9308346	4.628937	53.91	CFAP53	cilia and flagella associated protein 53
100129269	0.206	0.00346	1.646	-2.9233159	-4.811798	27.53	LINC01160	long intergenic non-protein coding RNA 1160
